,Results,PlayerStartingTrophies,OpponentStartingTrophies,PlayerMaxTrophies,OpponentMaxTrophies,PlayerKingTowers,OpponentKingTowers
0,1,4546,4506,5548,5208,12,12
1,1,4456,4648,5548,5307,12,12
2,1,4396,4442,5548,5258,12,12
3,0,4506,4546,5208,5548,12,12
4,0,4442,4396,5258,5548,12,12
5,0,4502,4619,5258,5307,12,12
6,1,4231,4000,4822,4376,11,9
7,1,4231,4000,4822,4376,11,9
8,0,4231,4000,4822,4376,11,9
9,1,4231,4000,4822,4376,11,9
10,1,4231,4000,4822,4376,11,9
11,0,4231,4000,4822,4376,11,9
12,1,4231,4000,4822,4376,11,9
13,1,4231,4000,4822,4376,11,9
14,0,4231,4000,4822,4376,11,9
15,0,4231,4000,4822,4376,11,9
16,0,4231,4000,4822,4376,11,9
17,0,4231,4000,4822,4376,11,9
18,1,4231,4000,4822,4376,11,9
19,0,4231,4000,4822,4376,11,9
20,0,4231,4000,4822,4376,11,9
21,0,4231,4000,4822,4376,11,9
22,0,4231,4000,4822,4376,11,9
23,1,4231,4000,4822,4376,11,9
24,1,4231,4000,4822,4376,11,9
25,1,4231,4000,4822,4376,11,9
26,1,4231,4000,4822,4376,11,9
27,1,4231,4000,4822,4376,11,9
28,1,4231,4000,4822,4376,11,9
29,0,4156,4070,4991,4652,10,9
30,0,4156,4070,4991,4652,10,9
31,0,4156,4070,4991,4652,10,9
32,0,4159,4128,4661,4991,9,10
33,1,4159,4128,4661,4991,9,10
34,0,4060,4428,4721,5109,9,10
35,0,4000,4231,4376,4822,9,11
36,0,4000,4231,4376,4822,9,11
37,1,4000,4231,4376,4822,9,11
38,0,4000,4231,4376,4822,9,11
39,0,4000,4231,4376,4822,9,11
40,1,4000,4231,4376,4822,9,11
41,0,4000,4231,4376,4822,9,11
42,0,4000,4231,4376,4822,9,11
43,1,4000,4231,4376,4822,9,11
44,1,4000,4231,4376,4822,9,11
45,1,4000,4231,4376,4822,9,11
46,1,4000,4231,4376,4822,9,11
47,0,4000,4231,4376,4822,9,11
48,1,4000,4231,4376,4822,9,11
49,1,4000,4231,4376,4822,9,11
50,1,4000,4231,4376,4822,9,11
51,1,4000,4231,4376,4822,9,11
52,0,4000,4231,4376,4822,9,11
53,0,4000,4231,4376,4822,9,11
54,0,4000,4231,4376,4822,9,11
55,0,4000,4231,4376,4822,9,11
56,0,4000,4231,4376,4822,9,11
57,0,4000,4231,4376,4822,9,11
58,1,4000,4261,4376,4822,9,11
59,1,4000,4261,4376,4822,9,11
60,0,4139,4116,4140,4230,8,9
61,0,4139,4116,4140,4230,8,9
62,1,4139,4116,4140,4230,8,9
63,1,4139,4116,4140,4230,8,9
64,0,4139,4116,4140,4230,8,9
65,1,4070,4156,4652,4991,9,10
66,1,4070,4156,4652,4991,9,10
67,1,4070,4156,4652,4991,9,10
68,0,1057,1171,1200,1207,5,6
69,0,486,4097,786,5040,5,11
70,1,7326,5651,7877,6162,13,13
71,1,7326,5651,7877,6162,13,13
72,0,7268,5911,7877,7214,13,13
73,1,7268,5911,7877,7214,13,13
74,1,7268,5489,7877,6162,13,13
75,1,7268,5318,7877,6446,13,13
76,1,7264,5485,7877,6162,13,13
77,1,7264,6000,7877,6615,13,13
78,1,7051,7162,7198,8196,13,13
79,0,6626,5328,7475,6147,13,12
80,1,6626,5328,7475,6147,13,12
81,0,6626,5328,7475,6147,13,12
82,1,6626,5328,7475,6147,13,12
83,0,6626,5328,7475,6147,13,12
84,1,6721,4613,7686,5352,13,12
85,1,6721,5776,7686,7007,13,13
86,1,6721,5240,7686,6216,13,13
87,1,6434,6205,7074,7324,13,13
88,0,6434,6205,7074,7324,13,13
89,0,6434,6205,7074,7324,13,13
90,0,6434,6205,7074,7324,13,13
91,1,6446,6361,7025,7690,13,13
92,0,6446,6361,7025,7690,13,13
93,0,7421,7574,8503,7588,13,13
94,0,7088,4007,7558,4897,13,10
95,0,7088,4007,7558,4897,13,10
96,0,7088,4007,7558,4897,13,10
97,1,6877,6894,7558,7779,13,13
98,1,6850,4746,7558,5556,13,10
99,1,6850,4746,7558,5556,13,10
100,1,6850,4746,7558,5556,13,10
101,0,6850,4746,7558,5556,13,10
102,0,6850,4746,7558,5556,13,10
103,1,6850,4746,7558,5556,13,10
104,0,6850,4746,7558,5556,13,10
105,1,6905,5727,7656,6666,13,13
106,1,6920,5598,7807,8349,13,13
107,1,6920,5598,7807,8349,13,13
108,1,6744,4011,7807,4809,13,10
109,1,6405,90,7269,90,13,2
110,1,6405,90,7269,90,13,2
111,1,6405,90,7269,90,13,2
112,1,6405,5698,7269,6462,13,13
113,1,6405,4727,7269,6714,13,13
114,1,6405,4727,7269,6714,13,13
